id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,Compound Score
18617362,✰Premium 1+1 BR Suite/Parking/ Subway Dir.Access✰,54422135,Sarah,Willowdale East,43.7598,-79.40934,Entire home/apt,170,2,11,0.2,8.5,210,2,0.555318182
18626396,"Bright, spacious and sunny bedroom with queen bed.",66874716,Marian,West Humber-Clairville,43.72106,-79.58332,Private room,58,28,32,0.54,3,0,0,0.8444
18630022,New Condo with private washroom,39596567,Giselle,Dovercourt-Wallace Emerson-Junction,43.66711,-79.446,Private room,40,64,38,0.68,1,364,0,0.880133333
18630485,2 bed & 2 bath Suite in Luxury Condo with Parking,129433543,Kevin,Waterfront Communities-The Island,43.64527,-79.38975,Entire home/apt,270,28,63.5,1.4,1,0,1,0.777768421
18636686,Trinity Bellwoods / Kensington room(May - June),129485538,Riley,Trinity-Bellwoods,43.64917,-79.40863,Private room,25,28,3,0.05,1,0,0,0.949366667
18638123,Lakeview Condo 15 Minutes From Downtown Toronto,129499921,Sam,Mimico (includes Humber Bay Shores),43.62293,-79.48351,Entire home/apt,125,28,19,0.33,1,240,0,0.862047368
18647358,Cozy Gem in the Heart of Downtown (Suite 4),14061006,Leah,North St.James Town,43.66707,-79.37804,Entire home/apt,175,28,63.5,1.32,6,233,7,0.825463158
18648081,2 BR + 2 Sofabed + Parking by CN / Convention Cnt,120262823,Kris,Waterfront Communities-The Island,43.64389,-79.38835,Entire home/apt,159,1,63.5,2.47,4,65,7.5,0.729481277
18653241,Charming 3 bedroom downtown w/parking!,127677828,David,Kensington-Chinatown,43.65561,-79.40133,Entire home/apt,95,2,63.5,2.47,1,87,7.5,0.821439073
18654484,"Lg Room/Queen bed 
In Clean, Quirky Home",118096928,Thierry,South Parkdale,43.6372,-79.43053,Private room,100,28,10,0.17,2,0,0,0.86367
18656326,Right place to stay in toronto downtown,68111296,Alice,Waterfront Communities-The Island,43.64911,-79.38842,Entire home/apt,85,28,63.5,2.44,1,118,3,0.813444118
18663928,Luxury Downtown Condo - 3 Bedroom,96745482,Seok Woon,Waterfront Communities-The Island,43.64259,-79.38293,Entire home/apt,300,28,21,0.36,1,0,0,0.767780952
18670446,Toronto City Group Stay,80603071,Miroslaw,North St.James Town,43.66789,-79.37216,Entire home/apt,319,1,16,0.28,4,280,3,0.82208
18681182,"Stylish, Private, Loft by the Lake, 3rd Floor🌷🌳🌺 ⛵️",6614234,Joanne,Mimico (includes Humber Bay Shores),43.61619,-79.49031,Entire home/apt,119,28,63.5,1.44,1,249,2,0.874709211
18691775,Cozy studio apartment downtown! Great Location!,66249114,Ethan,Kensington-Chinatown,43.65705,-79.39305,Entire home/apt,130,28,1,0.02,1,0,0,0.5719
18692940,Sunny Bloor West village apartment,92905268,Sarah,Dovercourt-Wallace Emerson-Junction,43.66163,-79.43143,Entire home/apt,120,28,3,0.05,1,255,0,0.159866667
18693958,"2bedroom+den 2bath sleeps 6 park view, water front",15912223,Shane,Waterfront Communities-The Island,43.63978,-79.39795,Entire home/apt,170,28,63.5,1.29,8.5,365,3,0.661770149
18717218,Designer DowntownHome Sunny SUITE#3,9669365,Pam,Palmerston-Little Italy,43.65596,-79.41312,Private room,55,29,59,1.01,4,159,0,0.775186792
18718910,Double Private Room-Bedroom+Office+Lounge,9669365,Pam,Palmerston-Little Italy,43.65774,-79.41296,Private room,79,29,63.5,1.22,4,251,1,0.791839394
18737895,"Brand New Studio in Downtown (UofT, Yorkville)",130350276,Adam,Bay Street Corridor,43.66656,-79.38925,Entire home/apt,84,28,3,0.05,1,0,0,0.572
18749994,Luxury Guest Suite in Toronto's Yorkville Area,130441237,Josh,Annex,43.67191,-79.39753,Entire home/apt,125,28,1,0.02,1,0,0,0.9783
18751659,Bright room for short stay at Dufferin station,87253044,Cassandra,Dovercourt-Wallace Emerson-Junction,43.66122,-79.43508,Private room,31,28,2,0.03,1,0,0,0.49175
18754104,Bohemian Apartment Downtown Toronto,18941488,Lynn,Cabbagetown-South St.James Town,43.66491,-79.37432,Private room,60,28,8,0.14,1,0,0,0.861671429
18757357,Spacious & Cozy w/ Deck | Close to UofT/Hospitals,18483787,Kylie,Kensington-Chinatown,43.65657,-79.39423,Private room,69,1,63.5,2.02,5,0,1,0.862450877
18765370,Juniper's Pad,108365142,Juniper,Trinity-Bellwoods,43.64546,-79.41745,Entire home/apt,112,28,8,0.14,1,0,0,0.9088625
18769755,Cozy artist apartment in the heart of Toronto,466968,Sacha,Waterfront Communities-The Island,43.64453,-79.39789,Entire home/apt,300,28,1,0.02,1,358,0,0.9609
18770782,Huge Converted Loft w/ Parking!,130612511,Eric,Dovercourt-Wallace Emerson-Junction,43.66965,-79.44046,Entire home/apt,319,28,49,0.83,1,0,0,0.6916
18772449,1 Bedroom Condo in South Cabbagetown,105786303,Lauren,Regent Park,43.66263,-79.36247,Entire home/apt,130,28,6,0.1,1,0,0,0.786483333
